firm,year,inv,value,capital
1,1935,317.6,3078.5,2.8
1,1936,391.8,4661.7,52.6
1,1937,410.6,5387.1,156.9
1,1938,257.7,2792.2,209.2
1,1939,330.8,4313.2,203.4
1,1940,461.2,4643.9,207.2
1,1941,512.0,4551.2,255.2
1,1942,448.0,3244.1,303.7
1,1943,499.6,4053.7,264.1
1,1944,547.5,4379.3,201.6
1,1945,561.2,4840.9,265.0
1,1946,688.1,4900.9,402.2
1,1947,568.9,3526.5,761.5
1,1948,529.2,3254.7,922.4
1,1949,555.1,3700.2,1020.1
1,1950,642.9,3755.6,1099.0
1,1951,755.9,4833.0,1207.7
1,1952,891.2,4924.9,1430.5
1,1953,1304.4,6241.7,1777.3
1,1954,1486.7,5593.6,2226.3
2,1935,209.9,1362.4,53.8
2,1936,355.3,1807.1,50.5
2,1937,469.9,2676.3,118.1
2,1938,262.3,1801.9,260.2
2,1939,230.4,1957.3,312.7
2,1940,361.6,2202.9,254.2
2,1941,472.8,2380.5,261.4
2,1942,445.6,2168.6,298.7
2,1943,361.6,1985.1,301.8
2,1944,288.2,1813.9,279.1
2,1945,258.7,1850.2,213.8
2,1946,420.3,2067.7,232.6
2,1947,420.5,1796.7,264.8
2,1948,494.5,1625.8,306.9
2,1949,405.1,1667.0,351.1
2,1950,418.8,1677.4,357.8
2,1951,588.2,2289.5,342.1
2,1952,645.5,2159.4,444.2
2,1953,641.0,2031.3,623.6
2,1954,459.3,2115.5,669.7
3,1935,33.1,1170.6,97.8
3,1936,45.0,2015.8,104.4
3,1937,77.2,2803.3,118.0
3,1938,44.6,2039.7,156.2
3,1939,48.1,2256.2,172.6
3,1940,74.4,2132.2,186.6
3,1941,113.0,1834.1,220.9
3,1942,91.9,1588.0,287.8
3,1943,61.3,1749.4,319.9
3,1944,56.8,1687.2,321.3
3,1945,93.6,2007.7,319.6
3,1946,159.9,2208.3,346.0
3,1947,147.2,1656.7,456.4
3,1948,146.3,1604.4,543.4
3,1949,98.3,1431.8,618.3
3,1950,93.5,1610.5,647.4
3,1951,135.2,1819.4,671.3
3,1952,157.3,2079.7,726.1
3,1953,179.5,2371.6,800.3
3,1954,189.6,2759.9,888.9
